Hostname,ManagementIp,HwSku,Type,Protocol,Os
r-liger-05,10.210.24.104/22,MLNX-OS,FanoutLeaf,,
r-liger-12,10.210.24.76/22,MLNX-OS,FanoutLeaf,,
mtvr-liger-01,10.245.20.43/22,MLNX-OS,FanoutLeaf,,
mtvr-liger-02,10.245.20.44/22,MLNX-OS,FanoutLeaf,,
mtvr-liger-03,10.245.20.45/22,MLNX-OS,FanoutLeaf,,
mtvr-leopard-02,10.245.20.50/22,MLNX-OS,FanoutLeaf,,
r-leopard-80,10.210.24.166/22,MLNX-OS,FanoutLeaf,,
r-leopard-71,10.210.24.133/22,MLNX-OS,FanoutLeaf,,
r-leopard-73,10.210.24.210/22,MLNX-OS,FanoutLeaf,,
r-leopard-20,10.210.25.114/22,MLNX-OS,FanoutLeaf,,
mts-sonic-fanout,10.9.74.64/24,MLNX-OS,FanoutLeaf,,
arc-switch232-005,0.0.0.0/0,MLNX-OS,FanoutLeaf,,
arc-switch232-007,0.0.0.0/0,MLNX-OS,FanoutLeaf,,
arc-switch233-005,0.0.0.0/0,MLNX-OS,FanoutLeaf,,
arc-switch233-007,0.0.0.0/0,MLNX-OS,FanoutLeaf,,
mtbc-sonic-02-2700,10.75.67.45/25,MLNX-OS,FanoutLeaf,,
mtbc-3700c-02,10.75.67.51/24,MLNX-OS,FanoutLeaf,,
r-tigon-14,10.210.25.188/22,MLNX-OS,FanoutLeaf,,
r-anaconda-68,10.210.24.157/22,MLNX-OS,FanoutLeaf,,
r-anaconda-69,10.210.24.150/22,MLNX-OS,FanoutLeaf,,
r-anaconda-86,10.210.24.190/24,MLNX-OS,FanoutLeaf,,
mtvr-anaconda-01,10.245.21.5/22,MLNX-OS,FanoutLeaf,,
mtvr-panther-04,10.245.21.4/22,MLNX-OS,FanoutLeaf,,
dummy-fanout,0.0.0.0/0,MLNX-OS,FanoutLeaf,,
arc-host60,10.213.84.1,TestServ,Server,,
mts-sai-host-3,10.9.78.60,TestServ,Server,,
arc-host83,,TestServ,Server,,
arc-host121,10.213.84.180,TestServ,Server,,
arc-host62,10.213.84.60,TestServ,Server,,
arc-host26,10.213.80.120,TestServ,Server,,
arc-host70,10.215.22.60,TestServ,Server,,
r-sonic-03,10.213.103.1,TestServ,Server,,
r-sonic-04,10.213.104.1,TestServ,Server,,
r-sonic-07,10.215.0.60,TestServ,Server,,
r-r640-15,10.215.22.1,TestServ,Server,,
r-r640-16,10.215.26.180,TestServ,Server,,
mtvr-r640-01,10.245.20.120,TestServ,Server,,
mtvr-r640-02,10.245.20.180,TestServ,Server,,
mtvr-r740-01,10.245.20.60,TestServ,Server,,
mtvr-r740-07,10.245.40.1,TestServ,Server,,
dev-r-vrt-249,,TestServ,Server,,
dev-r730-01,,TestServ,Server,,
dev-r730-02,,TestServ,Server,,
dev-r730-03,,TestServ,Server,,
dev-r-vrt-232,,TestServ,Server,,
dev-r-vrt-233,,TestServ,Server,,
mtbc-r730-04,,TestServ,Server,,
r-mgtswh-185,,TestServ,Server,,
r-r640-10,,TestServ,Server,,
r-r640-13,,TestServ,Server,,
r-r640-14,,TestServ,Server,,
r-r740-07,,TestServ,Server,,
r-r740-05,,TestServ,Server,,
r-r740-03,,TestServ,Server,,
r-r740-08,,TestServ,Server,,
r-r740-09,,TestServ,Server,,
r-r740-13,,TestServ,Server,,
mtvr-r740-04,,TestServ,Server,,
r-r740-14,,TestServ,Server,,
r-r740-12,,TestServ,Server,,
r-r740-15,,TestServ,Server,,
r-bulldog-03,10.209.1.2,ACS-MSN2100,DevSonic,,sonic
r-bulldog-04,10.209.1.3,ACS-MSN2100,DevSonic,,sonic
r-bulldog-02,10.210.25.44,ACS-MSN2100,DevSonic,,sonic
r-panther-16,10.210.25.186,Mellanox-SN2700,DevSonic,,sonic
r-panther-17,10.210.25.189,Mellanox-SN2700,DevSonic,,sonic
r-anaconda-71,10.210.25.187,ACS-MSN3700,DevSonic,,sonic
r-anaconda-70,10.210.24.228,ACS-MSN3700,DevSonic,,sonic
r-anaconda-75,10.210.24.106,ACS-MSN3700,DevSonic,,sonic
r-anaconda-76,10.210.24.107,ACS-MSN3700,DevSonic,,sonic
r-anaconda-77,10.210.25.199,ACS-MSN3700,DevSonic,,sonic
r-panther-19,10.210.24.122,Mellanox-SN2700,DevSonic,,sonic
r-leopard-42,10.210.24.86,ACS-MSN4700,DevSonic,,sonic
r-leopard-44,10.210.24.119,ACS-MSN4700,DevSonic,,sonic
r-leopard-43,10.210.24.89,ACS-MSN4700,DevSonic,,sonic
r-leopard-45,10.210.24.121,ACS-MSN4700,DevSonic,,sonic
r-panther-02,10.210.26.20,Mellanox-SN2700-A1,DevSonic,,sonic
r-panther-42,10.210.25.56,Mellanox-SN2700-A1,DevSonic,,sonic
r-panther-40,10.210.25.49,Mellanox-SN2700-A1-D48C8,DevSonic,,sonic
r-panther-20,10.210.25.192,Mellanox-SN2700,DevSonic,,sonic
r-panther-01,10.210.25.27,Mellanox-SN2700-A1-D48C8,DevSonic,,sonic
r-panther-22,10.210.25.198,Mellanox-SN2700,DevSonic,,sonic
r-panther-47,10.210.24.37,Mellanox-SN2700,DevSonic,,sonic
r-panther-48,10.210.24.87,Mellanox-SN2700,DevSonic,,sonic
r-anaconda-15,10.210.25.61,ACS-MSN3700C,DevSonic,,sonic
r-anaconda-51,10.210.26.51,ACS-MSN3700,DevSonic,,sonic
r-boxer-sw01,10.210.25.53,ACS-MSN2010,DevSonic,,sonic
r-leopard-32,10.210.24.55,ACS-MSN4700,DevSonic,,sonic
r-leopard-41,10.210.24.85,ACS-MSN4700,DevSonic,,sonic
r-leopard-56,10.210.24.97,ACS-MSN4700,DevSonic,,sonic
r-leopard-50,10.210.25.201,ACS-MSN4700,DevSonic,,sonic
r-leopard-79,10.210.25.4,Mellanox-SN4700-O28,DevSonic,,sonic
r-leopard-70,10.210.24.88,Mellanox-SN4700-O8V48,DevSonic,,sonic
r-leopard-72,10.210.24.196,Mellanox-SN4700-O8V48,DevSonic,,sonic
mtvr-panther-02,10.245.21.2,Mellanox-SN2700,DevSonic,,sonic
mtvr-panther-03,10.245.21.3,Mellanox-SN2700,DevSonic,,sonic
mtvr-moose-01,10.245.20.39,ACS-SN5600,DevSonic,,sonic
mtvr-moose-02,10.245.20.40,ACS-MSN4700,DevSonic,,sonic
mtvr-moose-03,10.245.20.41,ACS-MSN4700,DevSonic,,sonic
mtvr-moose-04,10.245.20.42,ACS-MSN4700,DevSonic,,sonic
mtvr-moose-05,10.245.20.46,ACS-SN5600,DevSonic,,sonic
mtvr-moose-06,10.245.20.47,ACS-SN5600,DevSonic,,sonic
mtvr-moose-07,10.245.20.48,ACS-SN5600,DevSonic,,sonic
mtvr-moose-08,10.245.20.51,ACS-SN5600,DevSonic,,sonic
mtvr-leopard-01,10.245.20.49,Mellanox-SN4700-O28,DevSonic,,sonic
mtvr-hippo-01,10.245.20.56,ACS-SN5400,DevSonic,,sonic
r-liger-02,10.210.25.88,ACS-MSN4600,DevSonic,,sonic
r-tigon-15,10.210.24.52,ACS-MSN4600C,DevSonic,,sonic
r-lionfish-07,10.210.25.107,ACS-MSN3420,DevSonic,,sonic
r-lionfish-13,10.210.25.145,ACS-MSN3420,DevSonic,,sonic
r-lionfish-14,10.210.25.146,ACS-MSN3420,DevSonic,,sonic
r-lionfish-16,10.210.25.148,ACS-MSN3420,DevSonic,,sonic
r-ocelot-02,10.210.25.183,ACS-MSN4410,DevSonic,,sonic
r-panther-03,10.210.25.2,Mellanox-SN2700-A1,DevSonic,,sonic
r-panther-13,10.210.24.72,Mellanox-SN2700,DevSonic,,sonic
r-panther-23,10.210.25.147,Mellanox-SN2700,DevSonic,,sonic
r-panther-36,10.210.24.35,Mellanox-SN2700,DevSonic,,sonic
r-anaconda-simx-129,10.215.14.129,ACS-MSN3700,DevSonic,,sonic
r-anaconda-simx-134,10.215.14.134,ACS-MSN3700,DevSonic,,sonic
r-anaconda-simx-139,10.215.14.139,ACS-MSN3700,DevSonic,,sonic
r-anaconda-simx-10,10.215.14.10,ACS-MSN3700,DevSonic,,sonic
r-anaconda-simx-133,10.215.12.133,ACS-MSN3700,DevSonic,,sonic
r-anaconda-simx-141,10.215.12.141,ACS-MSN3700,DevSonic,,sonic
r-anaconda-simx-169,10.215.12.169,ACS-MSN3700,DevSonic,,sonic
r-anaconda-simx-37,10.215.4.37,ACS-MSN3700,DevSonic,,sonic
r-anaconda-simx-41,10.215.4.41,ACS-MSN3700,DevSonic,,sonic
r-anaconda-simx-45,10.215.4.45,ACS-MSN3700,DevSonic,,sonic
r-anaconda-simx-49,10.215.4.49,ACS-MSN3700,DevSonic,,sonic
r-buffalo-simx-28,10.213.88.28,ACS-MSN4800,DevSonic,,sonic
r-buffalo-simx-165,10.215.1.165,ACS-MSN4800,DevSonic,,sonic
r-buffalo-simx-169,10.215.1.169,ACS-MSN4800,DevSonic,,sonic
r-leopard-simx-69,10.215.14.69,ACS-MSN4700,DevSonic,,sonic
r-leopard-simx-74,10.215.14.74,ACS-MSN4700,DevSonic,,sonic
r-leopard-simx-129,10.215.12.129,ACS-MSN4700,DevSonic,,sonic
r-leopard-simx-137,10.215.12.137,ACS-MSN4700,DevSonic,,sonic
r-leopard-simx-79,10.215.14.79,ACS-MSN4700,DevSonic,,sonic
r-leopard-simx-173,10.215.12.173,ACS-MSN4700,DevSonic,,sonic
r-leopard-simx-14,10.215.14.14,ACS-MSN4700,DevSonic,,sonic
r-leopard-simx-21,10.215.4.21,ACS-MSN4700,DevSonic,,sonic
r-leopard-simx-25,10.215.4.25,ACS-MSN4700,DevSonic,,sonic
r-leopard-simx-29,10.215.4.29,ACS-MSN4700,DevSonic,,sonic
r-leopard-simx-33,10.215.4.33,ACS-MSN4700,DevSonic,,sonic
r-panther-simx-13,10.213.88.13,ACS-MSN2700,DevSonic,,sonic
r-panther-simx-18,10.213.88.18,ACS-MSN2700,DevSonic,,sonic
r-panther-simx-23,10.213.88.23,ACS-MSN2700,DevSonic,,sonic
r-panther-simx-02,10.215.14.2,ACS-MSN2700,DevSonic,,sonic
r-panther-simx-03,10.215.4.3,ACS-MSN2700,DevSonic,,sonic
r-panther-simx-09,10.215.4.9,ACS-MSN2700,DevSonic,,sonic
r-panther-simx-15,10.215.4.15,ACS-MSN2700,DevSonic,,sonic
r-panther-simx-17,10.215.4.17,ACS-MSN2700,DevSonic,,sonic
r-panther-simx-125,10.215.12.125,ACS-MSN2700,DevSonic,,sonic
r-panther-simx-06,10.215.14.6,ACS-MSN2700,DevSonic,,sonic
r-panther-simx-165,10.215.12.165,ACS-MSN2700,DevSonic,,sonic
r-moose-simx-18,10.215.14.18,ACS-MSN5600,DevSonic,,sonic
r-moose-simx-22,10.215.14.22,ACS-MSN5600,DevSonic,,sonic
r-moose-simx-26,10.215.14.26,ACS-MSN5600,DevSonic,,sonic
r-moose-simx-30,10.215.14.30,ACS-MSN5600,DevSonic,,sonic
r-moose-simx-34,10.215.14.34,ACS-MSN5600,DevSonic,,sonic
r-moose-simx-38,10.215.14.38,ACS-MSN5600,DevSonic,,sonic
r-moose-simx-53,10.215.4.53,ACS-MSN5600,DevSonic,,sonic
r-moose-simx-57,10.215.4.57,ACS-MSN5600,DevSonic,,sonic
r-moose-simx-242,10.215.65.242,ACS-MSN5600,DevSonic,,sonic
r-moose-simx-246,10.215.65.246,ACS-MSN5600,DevSonic,,sonic
r-spider-05,10.210.24.178,ACS-MSN2410,DevSonic,,sonic
moose-198,10.7.144.198,Mellanox-SN5600-C8,DevSonic,,sonic
r-moose-01,10.210.24.105,ACS-SN5600,DevSonic,,sonic
moose-42,10.7.148.42,ACS-SN5600,DevSonic,,sonic
r-moose-02,10.210.24.236,ACS-SN5600,DevSonic,,sonic
r-tigris-22,10.210.24.108,ACS-MSN3800,DevSonic,,sonic
r-ocelot-07,10.210.24.11,ACS-MSN4410,DevSonic,,sonic
r-tigon-17,10.210.24.160,ACS-MSN4600C,DevSonic,,sonic
r-alligator-04,10.210.24.172,ACS-SN2201,DevSonic,,sonic
r-buffalo-04,10.210.24.133,ACS-MSN4800,DevSonic,,sonic
c-anaconda-01,10.75.67.50,ACS-MSN3700C,DevSonic,,sonic
c-anaconda-02,10.75.67.51,ACS-MSN3700C,DevSonic,,sonic
jaguar-119,10.7.144.119,ACS-MQM8700,DevSonic,,sonic
jaguar-25,10.7.144.25,ACS-MQM8700,DevSonic,,sonic
r-jaguar-03,10.210.25.99,ACS-MQM8700,DevSonic,,sonic
gorilla-58,10.7.144.58,ACS-MQM9700,DevSonic,,sonic
gorilla-153,10.7.144.153,ACS-MQM9700,DevSonic,,sonic
gorilla-154,10.7.144.154,ACS-MQM9700,DevSonic,,sonic
gorilla-11,10.7.144.11,ACS-MQM9700,DevSonic,,sonic
r-come-bf3-01,10.209.48.67,ACS-MQM9700,DevSonic,,sonic
nvidia-arm-orion,10.210.24.241,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-84,10.237.6.84,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-85,10.237.6.85,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-86,10.237.6.86,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-87,10.237.6.87,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-88,10.237.6.88,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-89,10.237.6.89,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-90,10.237.6.90,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-91,10.237.6.91,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-92,10.237.6.92,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-93,10.237.6.93,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-94,10.237.6.94,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-95,10.237.6.95,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-96,10.237.6.96,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-97,10.237.6.97,ACS-MQM9700,DevSonic,,sonic
gorilla-simx-98,10.237.6.98,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-62,10.237.211.62,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-63,10.237.211.63,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-63,10.237.211.63,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-64,10.237.211.64,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-65,10.237.211.65,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-66,10.237.211.66,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-67,10.237.211.67,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-69,10.237.211.69,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-71,10.237.211.71,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-73,10.237.211.73,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-75,10.237.211.75,ACS-MQM9700,DevSonic,,sonic
gorilla-chipsim-77,10.237.211.77,ACS-MQM9700,DevSonic,,sonic
jaguar-113,10.7.144.113,ACS-MQM8700,DevSonic,,sonic
jaguar-112,10.7.144.112,ACS-MQM8700,DevSonic,,sonic
gorilla-126,10.7.144.126,ACS-MQM9700,DevSonic,,sonic
gorilla-125,10.7.144.125,ACS-MQM9700,DevSonic,,sonic
gorilla-62,10.7.144.162,ACS-MQM9700,DevSonic,,sonic
gorilla-11,10.7.144.11,ACS-MQM9700,DevSonic,,sonic
gorilla-170,10.7.144.170,ACS-MQM9700,DevSonic,,sonic
gorilla-169,10.7.144.169,ACS-MQM9700,DevSonic,,sonic
gorilla-168,10.7.144.168,ACS-MQM9700,DevSonic,,sonic
gorilla-100,10.7.144.100,ACS-MQM9700,DevSonic,,sonic
gorilla-152,10.7.144.152,ACS-MQM9700,DevSonic,,sonic
marlin-104,10.7.145.104,ACS-MQM9520,DevSonic,,sonic
marlin-100,10.7.145.100,ACS-MQM9520,DevSonic,,sonic
marlin-101,10.7.145.101,ACS-MQM9520,DevSonic,,sonic
marlin-102,10.7.145.102,ACS-MQM9520,DevSonic,,sonic
r-anaconda-25,10.210.25.86,ACS-MSN3700,DevSonic,,sonic
gorilla-71,10.7.144.71,ACS-MQM9700,DevSonic,,sonic
gorilla-72,10.7.144.72,ACS-MQM9700,DevSonic,,sonic
mlx-4700a1-07,10.188.52.105,Mellanox-SN4700,DevSonic,,sonic
gorilla-30,10.7.144.30,ACS-MQM9700,DevSonic,,sonic
rcon-sws-3-8,10.208.0.47,,ConsoleServer,ssh,sonic
rcon-sws-2-4,10.208.0.49,,ConsoleServer,ssh,sonic
rcon-sws-1-5,10.208.0.70,,ConsoleServer,ssh,sonic
rcon-sws-3-6,10.208.0.45,,ConsoleServer,ssh,sonic
rcon-sws-4-4,10.208.0.48,,ConsoleServer,ssh,sonic
rcon-sws-3-5,10.208.0.44,,ConsoleServer,ssh,sonic
rcon-sws-2-3,10.208.0.79,,ConsoleServer,ssh,sonic
rcon-sws-2-6,10.208.0.85,,ConsoleServer,ssh,sonic
rcon-SWS-1-3,10.208.0.80,,ConsoleServer,ssh,sonic
rcon-mtvr-rack-2-6,10.245.2.8,,ConsoleServer,ssh,sonic
s-rcs01,10.9.72.21,,ConsoleServer,ssh,sonic
MTBC-RCON02,10.75.68.214,,ConsoleServer,ssh,sonic
rcon-mtr-sws-rack-1-6,10.208.2.34,,ConsoleServer,ssh,sonic
rcon-sws-2-7,10.208.0.30,,ConsoleServer,ssh,sonic
rcon-SWS-lab-rack-1-3,10.208.0.80,,ConsoleServer,ssh,sonic
